index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels,n-false-labels,times
0,0.5483870967741935,0.4642857142857143,0.4375494071146245,0.40476190476190477,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.4435483870967742,0.5,0.5,0.5,1,0,0,0,0,1,0,0,0,1,0,0.012798070907592773
2,0.49193548387096775,0.5595238095238095,0.5102766798418972,0.5595238095238095,2,1,0,0,0,1,0,0,0,2,0,0.011713027954101562
3,0.49193548387096775,0.5714285714285714,0.5121212121212121,0.5714285714285714,3,1,0,0,0,1,0,0,1,2,1,0.01357269287109375
4,0.49193548387096775,0.5714285714285714,0.5121212121212121,0.5714285714285714,4,1,0,1,0,1,0,0,1,3,1,0.013093948364257812
5,0.43548387096774194,0.5119047619047619,0.439262187088274,0.5119047619047619,5,1,0,2,0,1,0,0,1,4,1,0.014355897903442383
6,0.45161290322580644,0.5119047619047619,0.461133069828722,0.5119047619047619,6,1,0,2,0,2,0,0,1,5,1,0.0162811279296875
7,0.43548387096774194,0.5119047619047619,0.4484848484848485,0.5119047619047619,7,1,0,2,0,2,0,1,1,6,1,0.013541936874389648
8,0.4112903225806452,0.5,0.42121212121212115,0.5,8,1,0,2,0,2,0,1,2,6,2,0.013295173645019531
9,0.4032258064516129,0.4523809523809524,0.4065876152832675,0.45238095238095244,9,1,0,2,0,2,0,2,2,7,2,0.012994050979614258
10,0.43548387096774194,0.5119047619047619,0.4429512516469038,0.5119047619047619,10,1,1,2,0,2,0,2,2,7,3,0.012782096862792969
11,0.41935483870967744,0.4642857142857143,0.42476943346508567,0.4642857142857143,10,1,1,2,0,2,0,3,2,8,3,0.012856245040893555
12,0.43548387096774194,0.44047619047619047,0.42635046113306985,0.44047619047619047,11,1,1,2,0,2,0,3,3,8,4,0.013266801834106445
13,0.41935483870967744,0.42857142857142855,0.4155467720685112,0.4285714285714286,12,1,1,2,0,3,0,3,3,9,4,0.01299595832824707
14,0.3387096774193548,0.4166666666666667,0.33017127799736495,0.41666666666666663,13,1,1,3,0,3,0,3,3,10,4,0.012861013412475586
15,0.29838709677419356,0.39285714285714285,0.3031620553359684,0.3928571428571429,14,1,1,3,0,3,0,4,3,11,4,0.012746810913085938
16,0.2903225806451613,0.39285714285714285,0.2977602108036891,0.3928571428571429,15,1,1,3,0,4,0,4,3,12,4,0.012585878372192383
17,0.2903225806451613,0.39285714285714285,0.2977602108036891,0.3928571428571429,15,1,1,4,0,4,0,4,3,13,4,0.012753009796142578
18,0.28225806451612906,0.4166666666666667,0.2997364953886693,0.4166666666666667,16,1,1,4,0,5,0,4,3,14,4,0.012605905532836914
19,0.2661290322580645,0.40476190476190477,0.2852437417654809,0.40476190476190477,17,1,1,4,0,6,0,4,3,15,4,0.012686014175415039
20,0.25,0.38095238095238093,0.26890645586297757,0.38095238095238093,18,1,1,4,0,7,0,4,3,16,4,0.012781143188476562
21,0.25806451612903225,0.38095238095238093,0.2779973649538867,0.38095238095238093,19,1,1,4,0,8,0,4,3,17,4,0.012562036514282227
22,0.2903225806451613,0.38095238095238093,0.31436100131752304,0.38095238095238093,20,1,1,4,0,8,1,4,3,17,5,0.012660980224609375
23,0.2661290322580645,0.36904761904761907,0.283399209486166,0.36904761904761907,20,1,1,5,0,8,1,4,3,18,5,0.012663841247558594
24,0.27419354838709675,0.3333333333333333,0.28326745718050067,0.33333333333333337,21,1,1,5,1,8,1,4,3,18,6,0.01298213005065918
25,0.25806451612903225,0.3333333333333333,0.2650856389986825,0.33333333333333337,22,1,1,6,1,8,1,4,3,19,6,0.013049125671386719
26,0.24193548387096775,0.34523809523809523,0.24505928853754938,0.34523809523809523,23,1,1,6,1,9,1,4,3,20,6,0.01270294189453125
27,0.25806451612903225,0.3333333333333333,0.2650856389986825,0.33333333333333337,24,1,1,6,1,9,1,5,3,21,6,0.012438058853149414
28,0.23387096774193547,0.3333333333333333,0.24334650856389986,0.33333333333333337,25,1,1,6,1,9,1,6,3,22,6,0.012423038482666016
29,0.22580645161290322,0.3333333333333333,0.23610013175230565,0.33333333333333337,26,1,1,6,1,9,1,7,3,23,6,0.012877225875854492
30,0.22580645161290322,0.3333333333333333,0.23610013175230565,0.33333333333333337,27,1,1,6,1,10,1,7,3,24,6,0.012597084045410156
31,0.22580645161290322,0.32142857142857145,0.23610013175230565,0.32142857142857145,28,1,1,6,1,11,1,7,3,25,6,0.012369155883789062
32,0.20967741935483872,0.2976190476190476,0.21791831357048747,0.2976190476190476,29,1,1,6,1,11,1,8,3,26,6,0.012835025787353516
33,0.20967741935483872,0.2976190476190476,0.21791831357048747,0.2976190476190476,30,2,1,6,1,11,1,8,3,27,6,0.012408733367919922
34,0.20967741935483872,0.2976190476190476,0.21791831357048747,0.2976190476190476,31,2,1,6,1,12,1,8,3,28,6,0.01226806640625
35,0.21774193548387097,0.2976190476190476,0.22700922266139656,0.2976190476190476,32,2,1,6,2,12,1,8,3,28,7,0.012133121490478516
36,0.21774193548387097,0.2976190476190476,0.22700922266139656,0.2976190476190476,33,2,1,6,2,12,1,9,3,29,7,0.012249946594238281
37,0.21774193548387097,0.2976190476190476,0.22700922266139656,0.2976190476190476,34,3,1,6,2,12,1,9,3,30,7,0.012272119522094727
38,0.22580645161290322,0.2976190476190476,0.23425559947299077,0.2976190476190476,35,3,1,6,2,12,2,9,3,30,8,0.012212276458740234
39,0.23387096774193547,0.3333333333333333,0.24150197628458497,0.3333333333333333,36,3,1,6,2,12,3,9,3,30,9,0.012119054794311523
40,0.23387096774193547,0.3333333333333333,0.24150197628458497,0.3333333333333333,37,3,1,6,2,12,4,9,3,30,10,0.012079954147338867
41,0.22580645161290322,0.3333333333333333,0.23241106719367588,0.3333333333333333,38,3,1,7,2,12,4,9,3,31,10,0.012337923049926758
42,0.22580645161290322,0.3333333333333333,0.23241106719367588,0.3333333333333333,39,3,1,8,2,12,4,9,3,32,10,0.012105941772460938
43,0.22580645161290322,0.3333333333333333,0.23241106719367588,0.3333333333333333,40,4,1,8,2,12,4,9,3,33,10,0.012434244155883789
44,0.23387096774193547,0.3333333333333333,0.2396574440052701,0.3333333333333333,41,4,1,8,3,12,4,9,3,33,11,0.012719154357910156
45,0.23387096774193547,0.3333333333333333,0.2396574440052701,0.3333333333333333,42,4,1,8,3,13,4,9,3,34,11,0.013083219528198242
46,0.22580645161290322,0.3333333333333333,0.23241106719367588,0.3333333333333333,43,5,1,8,3,13,4,9,3,35,11,0.012350082397460938
47,0.23387096774193547,0.3333333333333333,0.2396574440052701,0.3333333333333333,44,5,2,8,3,13,4,9,3,35,12,0.012104034423828125
48,0.24193548387096775,0.3333333333333333,0.2469038208168643,0.3333333333333333,45,5,2,8,4,13,4,9,3,35,13,0.012435197830200195
49,0.23387096774193547,0.3333333333333333,0.2396574440052701,0.3333333333333333,46,6,2,8,4,13,4,9,3,36,13,0.01234292984008789
50,0.23387096774193547,0.3333333333333333,0.2396574440052701,0.3333333333333333,47,6,2,8,4,14,4,9,3,37,13,0.012173891067504883
51,0.23387096774193547,0.34523809523809523,0.2396574440052701,0.34523809523809523,48,6,2,8,4,14,4,10,3,38,13,0.01247406005859375
52,0.23387096774193547,0.34523809523809523,0.2396574440052701,0.34523809523809523,49,6,2,9,4,14,4,10,3,39,13,0.012525081634521484
53,0.23387096774193547,0.34523809523809523,0.2396574440052701,0.34523809523809523,50,6,2,10,4,14,4,10,3,40,13,0.013541936874389648
54,0.23387096774193547,0.35714285714285715,0.2396574440052701,0.35714285714285715,51,6,2,11,4,14,4,10,3,41,13,0.013030052185058594
55,0.22580645161290322,0.36904761904761907,0.230566534914361,0.36904761904761907,52,6,2,12,4,14,4,10,3,42,13,0.012243032455444336
56,0.22580645161290322,0.36904761904761907,0.230566534914361,0.36904761904761907,53,6,2,12,5,14,4,10,3,42,14,0.012097835540771484
